Division,Gene,Ct
Mymensing,Cy5(2),
Sylhet,Cy5(2),37.32
Rajshahi,Cy5(2),38.87
Rangpur,Cy5(2),38.28
Gaibandha (SKS),Cy5(2),38.65
Barisal,Cy5(2),37
Chittagong,Cy5(2),36.32
Khulna,Cy5(2),
Cox's Bazar ,Cy5(2),36.31
Comilla,Cy5(2),37.83
Kishorgonj,Cy5(2),
Brahmonbaria,Cy5(2),
Habigonj,Cy5(2),
Mymensing,FAM(2),36.35
Sylhet,FAM(2),35.34
Rajshahi,FAM(2),37.76
Rangpur,FAM(2),
Gaibandha (SKS),FAM(2),
Barisal,FAM(2),
Chittagong,FAM(2),
Khulna,FAM(2),35.42
Cox's Bazar ,FAM(2),
Comilla,FAM(2),38.74
Kishorgonj,FAM(2),38.65
Brahmonbaria,FAM(2),35.87
Habigonj,FAM(2),
Mymensing,Rox(2),33.68
Sylhet,Rox(2),37.32
Rajshahi,Rox(2),36.32
Rangpur,Rox(2),36.38
Gaibandha (SKS),Rox(2),36.38
Barisal,Rox(2),36.7
Chittagong,Rox(2),35
Khulna,Rox(2),36.5
Cox's Bazar ,Rox(2),35.21
Comilla,Rox(2),
Kishorgonj,Rox(2),36.38
Brahmonbaria,Rox(2),
Habigonj,Rox(2),
